종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005935,삼성전자우
402340,SK스퀘어
009150,삼성전기
373220,LG에너지솔루션
005380,현대차
207940,삼성바이오로직스
105560,KB금융
028260,삼성물산
032830,삼성생명
012450,한화에어로스페이스
034020,두산에너빌리티
055550,신한지주
329180,HD현대중공업
000270,기아
006400,삼성SDI
068270,셀트리온
034730,SK
086790,하나금융지주
012330,현대모비스
066570,LG전자
010120,LS ELECTRIC
035420,NAVER
000810,삼성화재
298040,효성중공업
316140,우리금융지주
267260,HD현대일렉트릭
005490,POSCO홀딩스
042660,한화오션
009540,HD한국조선해양
010130,고려아연
000150,두산
096770,SK이노베이션
042700,한미반도체
138040,메리츠금융지주
015760,한국전력
011200,HMM
017670,SK텔레콤
051910,LG화학
010140,삼성중공업
033780,KT&G
196170,알테오젠
006800,미래에셋증권
018260,삼성에스디에스
003550,LG
010950,S-Oil
267250,HD현대
079550,LIG디펜스앤에어로스페이스
003670,포스코퓨처엠
024110,기업은행
086280,현대글로비스
272210,한화시스템
035720,카카오
000720,현대건설
278470,에이피알
064350,현대로템
030200,KT
047810,한국항공우주
011070,LG이노텍
005830,DB손해보험
443060,HD현대마린솔루션
086520,에코프로
003490,대한항공
078930,GS
247540,에코프로비엠
071050,한국금융지주
006260,LS
028050,삼성E&A
307950,현대오토에버
047050,포스코인터내셔널
003230,삼양식품
323410,카카오뱅크
000500,가온전선
036930,주성엔지니어링
005940,NH투자증권
259960,크래프톤
180640,한진칼
277810,레인보우로보틱스
090430,아모레퍼시픽
0126Z0,삼성에피스홀딩스
047040,대우건설
016360,삼성증권
007660,이수페타시스
161390,한국타이어앤테크놀로지
021240,코웨이
352820,하이브
000880,한화
039490,키움증권
064400,LG씨엔에스
267270,HD건설기계
062040,산일전기
128940,한미약품
009830,한화솔루션
001440,대한전선
326030,SK바이오팜
005387,현대차2우B
240810,원익IPS
032640,LG유플러스
175330,JB금융지주
241560,두산밥캣
000100,유한양행
039030,이오테크닉스
000990,DB하이텍
377300,카카오페이
058470,리노공업
052690,한전기술
353200,대덕전자
088350,한화생명
029780,삼성카드
004020,현대제철
138930,BNK금융지주
222800,심텍
088980,맥쿼리인프라
066970,엘앤에프
036570,NC
108490,로보티즈
454910,두산로보틱스
403870,HPSP
051900,LG생활건강
271560,오리온
011790,SKC
082740,한화엔진
034220,LG디스플레이
001450,현대해상
002380,KCC
005385,현대차우
028300,HLB
095340,ISC
010060,OCI홀딩스
000250,삼천당제약
001040,CJ
319660,피에스케이
103590,일진전기
087010,펩트론
018880,한온시스템
031980,피에스케이홀딩스
161890,한국콜마
004170,신세계
214450,파마리서치
375500,DL이앤씨
336260,두산퓨얼셀
008930,한미사이언스
036460,한국가스공사
023530,롯데쇼핑
022100,포스코DX
111770,영원무역
084370,유진테크
012750,에스원
006360,GS건설
298380,에이비엘바이오
192820,코스맥스
028670,팬오션
440110,파두
035250,강원랜드
141080,리가켐바이오
064760,티씨케이
011780,금호석유화학
139130,iM금융지주
007340,DN오토모티브
251270,넷마블
031210,서울보증보험
017800,현대엘리베이터
010170,대한광통신
302440,SK바이오사이언스
257720,실리콘투
011170,롯데케미칼
131290,티에스이
145020,휴젤
004800,효성
095610,테스
383220,F&F
097950,CJ제일제당
003690,코리안리
085620,미래에셋생명
357780,솔브레인
067310,하나마이크론
026960,동서
226950,올릭스
080220,제주반도체
319400,현대무벡스
009420,한올바이오파마
450080,에코프로머티
004990,롯데지주
310210,보로노이
489790,한화비전
032820,우리기술
282330,BGF리테일
004370,농심
000240,한국앤컴퍼니
005850,에스엘
014680,한솔케미칼
005440,현대지에프홀딩스
001720,신영증권
140410,메지온
204320,HL만도
483650,달바글로벌
018670,SK가스
103140,풍산
020150,롯데에너지머티리얼즈
058610,에스피지
263750,펄어비스
279570,케이뱅크
112610,씨에스윈드
178320,서진시스템
009970,영원무역홀딩스
214370,케어젠
069960,현대백화점
005290,동진쎄미켐
051600,한전KPS
347850,디앤디파마텍
139480,이마트
214150,클래시스
043260,성호전자
081660,미스토홀딩스
073240,금호타이어
030530,원익홀딩스
030000,제일기획
083650,비에이치아이
002790,아모레퍼시픽홀딩스
457190,이수스페셜티케미컬
007070,GS리테일
237690,에스티팜
098460,고영
000155,두산우
229640,LS에코에너지
041510,에스엠
181710,NHN
462870,시프트업
439260,대한조선
071970,HD현대마린엔진
060370,LS마린솔루션
089860,롯데렌탈
140860,파크시스템스
068760,셀트리온제약
475150,SK이터닉스
120110,코오롱인더
023590,다우기술
089030,테크윙
131970,두산테스나
001430,세아베스틸지주
001120,LX인터내셔널
000120,CJ대한통운
008770,호텔신라
218410,RFHIC
020560,아시아나항공
437730,삼현
012630,HDC
183300,코미코
007390,네이처셀
096530,씨젠
093370,후성
006040,동원산업
294870,IPARK현대산업개발
395400,SK리츠
001820,삼화콘덴서
036540,SFA반도체
009155,삼성전기우
011210,현대위아
089970,브이엠
001800,오리온홀딩스
281820,케이씨텍
420770,기가비스
006280,녹십자
322000,HD현대에너지솔루션
0009K0,에임드바이오
298020,효성티앤씨
241710,코스메카코리아
039200,오스코텍
097230,HJ중공업
323280,태성
005070,코스모신소재
078600,대주전자재료
035900,JYP Ent.
204270,제이앤티씨
950160,코오롱티슈진
00680K,미래에셋증권2우B
082920,비츠로셀
361610,SK아이이테크놀로지
415640,KB발해인프라
069620,대웅제약
007810,코리아써키트
001740,SK네트웍스
007310,오뚜기
347700,스피어
290650,엘앤씨바이오
003540,대신증권
003380,하림지주
192080,더블유게임즈
000815,삼성화재우
127120,제이에스링크
300720,한일시멘트
066575,LG전자우
280360,롯데웰푸드
330590,롯데리츠
004000,롯데정밀화학
000210,DL
030610,교보증권
195940,HK이노엔
166090,하나머티리얼즈
006340,대원전선
017960,한국카본
252990,샘씨엔에스
000080,하이트진로
496320,본시스템즈
056190,SFA
003240,태광산업
293490,카카오게임즈
195870,해성디에스
232140,와이씨
006120,SK디스커버리
