LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON
1,012510,더존비즈온,KOSPI,IT/전기전자,120000,423.63,36473.8,0.0,,ATTACK,ATTACK,1,True,1,False,68.4,68.4,69.2,88.2,27.1,0.0,57.0,61.5,61.1,23.6,3.0,0.0,RR3.0 + 진입적정 + 돌입,0,120000.0,116400.0,130800.0,144300.0,,0.7,8.26,110682,1.17,특이사항 없음,0,-0.84,57.1,0.58,TIMING 강점,STRUCT 보조,,기술적 돌파 조건 충족,CAUTION,56.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",42362553850.0,81.0,1.05,0,1,0.0,1.01,0.59,0.5,33.04,35.44,-8.3,6.37,-12.56,0.017,0.017,1,6.0,0,1,2.77,0.95,0,0,0,1,1,118510.0,8.42,0.0402,True,O,▲,119213,▲,O,X,0.0,250,0,1,1,1,,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,3.0,5.0,3.0,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,FIBO_1.272,40,FIBO_1.618,25,,0,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2.853258426966292,18.027078651685393,8.0,27.1,OK,62.0,62.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,68.4,68.4,68.4,26.67,26.67,FRESH,0.619,,False,0.467,False,MATURE,4239.0,3.0,0.88,0.88,0.0,0.0,,v22_calibrated,,,,,,True,9.0,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
2,033230,인성정보,KOSDAQ,IT/전기전자,2050,98.11,1035.6,341.0,70.0,ARMED,ARMED,2,True,1,False,80.1,80.1,98.5,57.9,87.8,0.0,69.7,81.4,40.6,49.2,1.25,0.0,RR1.2 + 진입적정 + 3축고점 + 대기,0,2050.0,1746.0,2430.0,2715.0,,1.07,1.08,1974,0.71,특이사항 없음,0,17.25,69.6,9.87,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,56.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",9811097695.0,75.1,43.35,0,0,-6.18,3.17,12.02,24.09,15.43,13.13,15.29,-11.24,-34.87,0.088,0.088,1,12.0,1,0,2.65,0.56,0,0,0,1,1,1772.3,3.83,-0.1112,False,O,▲,2143,▲,X,X,0.0,250,0,1,1,1,3090.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,14.83,6.0,1.2,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2.853258426966292,18.027078651685393,8.0,87.8,OK,39.953422245360954,39.953422245360954,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,80.1,80.1,80.1,26.67,26.67,FRESH,0.649,,False,0.561,False,MATURE,4239.0,1.25,1.044,1.044,0.07,699654.0,341.0,v22_calibrated,,,,,,True,18.5,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
3,368770,파이버프로,KOSDAQ,기타,23550,142.47,7737.2,8.0,19.0,ARMED,ARMED,2,True,1,False,76.8,76.8,98.9,48.7,88.9,0.0,64.5,78.8,50.2,37.2,3.05,0.0,RR3.0 + 진입적정 + 대기,0,23550.0,21450.0,29950.0,32500.0,⚡눌림회복,-1.03,0.3,20462,55.78,특이사항 없음,2,13.24,63.7,0.39,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,56.0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",14246530925.0,65.2,29.55,1,0,0.43,-5.99,1.95,6.32,34.88,299.83,-2.48,8.21,251.83,0.09,0.09,1,12.0,1,0,2.69,0.38,0,0,0,1,1,17739.0,15.09,-0.3522,False,O,▲,25086,▼,X,X,-1.71,250,0,1,1,1,34900.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,8.92,5.0,3.0,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",7.800172413793104,10.187672413793104,10.0,88.9,OK,26.388741705129785,26.388741705129785,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,pullback,84.8,7.0,60,20260429,20260429,,76.8,76.8,76.8,26.67,26.67,FRESH,0.619,,False,0.534,False,MATURE,4239.0,3.048,0.938,0.938,0.019,189567.0,8.0,v22_calibrated,,,,,,True,27.2,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
4,489790,한화비전,KOSPI,IT/전기전자,81700,912.51,41249.0,1.0,8.7,ARMED,ARMED,2,True,1,False,76.2,76.2,98.1,66.1,52.5,0.0,64.1,72.2,45.6,43.0,1.52,0.0,RR1.5 + 진입적정 + 대기,0,81700.0,74600.0,92500.0,97900.0,,0.7,1.61,75815,-4.93,특이사항 없음,0,9.69,60.8,3.96,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CAUTION,56.0,통신 및 방송 장비 제조업,91250838450.0,57.6,27.91,0,0,-5.55,-0.61,1.62,8.07,47.47,64.55,-0.73,20.8,16.55,0.184,0.184,0,12.0,1,0,3.06,0.52,0,0,0,1,1,71770.0,7.76,0.0326,False,O,▲,86275,▲,X,X,-2.31,250,0,1,1,1,100900.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,8.69,5.0,1.5,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,ATR_3.5x,45,0.0,통신 및 방송 장비 제조업,2.853258426966292,18.027078651685393,8.0,52.5,OK,60.48650228848765,60.48650228848765,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,76.2,76.2,76.2,26.67,26.67,FRESH,0.619,,False,0.53,False,MATURE,4239.0,1.521,0.919,0.919,0.0087,87470.0,1.0,v22_calibrated,,,,,,True,13.2,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
5,018470,조일알미늄,KOSPI,철강·금속,1837,157.7,2326.2,84.0,15.6,ARMED,ARMED,2,True,1,False,76.6,76.6,99.9,48.2,86.8,0.0,63.9,78.3,51.7,35.4,1.44,0.0,RR1.4 + 진입적정 + 대기,0,1837.0,1561.0,2235.0,2550.0,,0.47,0.23,1678,1.66,특이사항 없음,0,18.53,63.2,8.24,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,56.0,1차 비철금속 제조업,15769858771.0,86.1,40.59,0,0,-3.21,-1.97,0.66,31.31,40.23,39.91,22.51,13.56,-8.09,0.155,0.155,1,12.0,0,0,2.52,0.54,0,0,0,1,1,1420.1,9.46,-0.0949,False,O,▲,1839,▲,X,X,0.68,250,0,1,1,1,2940.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.02,6.0,1.4,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,1차 비철금속 제조업,16.336451612903225,28.52225806451613,2.0,86.8,OK,26.5,26.5,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,76.6,76.6,76.6,26.67,26.67,FRESH,0.619,,False,0.533,False,MATURE,4239.0,1.442,0.931,0.931,0.0156,155893.0,84.0,v22_calibrated,,,,,,True,21.7,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
6,009830,한화솔루션,KOSPI,화학·소재,47950,3123.11,82422.5,0.0,,ARMED,ARMED,2,True,1,False,74.1,74.1,98.7,57.2,58.5,0.0,62.7,71.5,41.5,48.1,1.05,0.0,RR1.1 + 진입적정 + 대기,0,47950.0,41300.0,54900.0,59300.0,,-0.96,1.5,44473,18.6,특이사항 없음,0,19.0,70.3,11.09,STRUCT 강점,,RSI 과열,스퀴즈/품질 대기,CAUTION,56.0,기초 화학물질 제조업,312310893125.0,79.3,40.5,0,0,-2.94,0.84,13.09,27.7,66.2,44.86,18.9,39.53,-3.14,0.239,0.239,1,12.0,1,0,2.33,0.65,0,0,0,1,1,41115.0,7.82,-0.0317,False,O,▲,49920,▲,X,X,3.04,250,0,1,1,1,68300.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,13.87,4.0,1.0,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,0.0,기초 화학물질 제조업,8.424642857142857,18.105714285714285,7.0,58.5,OK,46.947543484502354,46.947543484502354,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,74.1,74.1,74.1,26.67,26.67,FRESH,0.619,,False,0.513,False,MATURE,4239.0,1.045,0.88,0.88,0.0,0.0,,v22_calibrated,,,,,,True,14.5,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
7,241560,두산밥캣,KOSPI,조선·기계·설비,74500,368.34,71412.8,0.0,,ARMED,ARMED,2,True,1,False,79.3,79.3,100.0,86.1,24.3,0.0,60.7,70.1,75.7,5.4,0.8,0.0,진입적정 + 대기,0,74500.0,68000.0,79700.0,85300.0,,-0.41,1.57,64294,13.47,특이사항 없음,0,17.91,74.5,7.4,STRUCT 강점,TIMING 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,56.0,특수 목적용 기계 제조업,36834209100.0,79.0,30.39,0,0,-2.61,2.19,8.13,19.01,23.75,20.36,10.21,-2.92,-27.64,0.015,0.015,1,8.3,1,0,2.01,0.75,0,0,0,1,1,69480.0,15.87,-0.0704,False,O,▲,76627,▲,X,X,-2.48,250,0,1,1,1,96300.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,8.72,4.0,0.8,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,특수 목적용 기계 제조업,10.336153846153847,25.077384615384616,5.0,24.3,OK,60.0,60.0,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,79.3,79.3,79.3,26.67,26.67,FRESH,0.619,,False,0.554,False,MATURE,4239.0,0.8,1.018,0.8,0.0,0.0,,v22_calibrated,,,,,,True,7.0,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
8,012800,대창,KOSPI,철강·금속,1650,274.41,1503.8,0.0,,ARMED,ARMED,2,True,1,False,72.8,72.8,98.9,39.7,86.7,0.0,59.0,75.1,59.2,26.0,0.89,0.1,진입적정 + 대기,0,1651.0,1493.0,1790.0,1925.0,,0.8,6.77,1496,11.1,특이사항 없음,0,14.12,72.4,11.93,STRUCT 강점,AI 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,56.0,1차 비철금속 제조업,27440638951.0,93.9,25.07,0,0,7.0,10.89,6.45,23.87,14.82,24.06,15.07,-11.85,-23.94,0.067,0.067,1,9.5,1,0,3.36,0.72,0,0,0,1,1,1471.2,10.26,0.0921,False,O,▲,1536,▲,O,X,4.67,250,0,1,1,1,2115.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,9.57,6.0,0.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,1차 비철금속 제조업,16.336451612903225,28.52225806451613,2.0,86.7,OK,15.675485243703939,15.675485243703939,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,72.8,72.8,72.8,26.67,26.67,FRESH,0.619,,False,0.502,False,MATURE,4239.0,0.88,0.88,0.88,0.0,0.0,,v22_calibrated,,,,,,True,8.5,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
9,001450,현대해상,KOSPI,금융,31450,127.16,26810.6,0.0,,ARMED,ARMED,2,True,1,False,75.8,75.8,81.1,100.0,16.6,0.0,58.8,65.9,83.4,0.0,8.0,0.0,RR8.0 + 진입적정 + 대기,0,31450.0,29850.0,44250.0,48900.0,,1.44,1.18,32939,2.92,특이사항 없음,5,1.36,68.9,3.82,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,CAUTION,56.0,보험업,12716400625.0,67.7,5.58,1,1,1.94,3.97,4.49,0.0,12.12,15.84,-8.8,-14.55,-32.16,0.168,0.062,1,6.0,0,0,1.66,0.87,0,0,0,1,-1,31950.0,-4.52,0.0516,False,O,▲,30720,▲,O,X,-0.32,250,0,1,1,1,54800.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,5.09,5.0,8.0,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_60D,60,FIBO_1.272,40,FIBO_1.618,25,0.0,보험업,7.680487804878048,14.592926829268292,9.0,16.6,OK,82.81770677697425,82.81770677697425,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,breakout,91.0,5.0,60,20260429,20260429,,75.8,75.8,75.8,26.67,26.67,FRESH,0.619,,False,0.526,False,MATURE,4239.0,8.0,0.906,0.906,0.0018,17563.0,,v22_calibrated,,,,,,True,40.7,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
10,046120,오르비텍,KOSDAQ,서비스 기타,11930,143.07,4039.0,0.0,,ARMED,ARMED,2,True,1,False,70.4,70.4,100.0,46.1,59.7,0.0,56.8,68.6,53.9,32.6,1.23,0.0,RR1.2 + 진입적정 + 대기,0,11930.0,10140.0,14130.0,16410.0,,1.11,0.37,9379,89.44,특이사항 없음,5,9.85,68.3,5.36,STRUCT 강점,,,스퀴즈/품질 대기,CAUTION,56.0,기타 과학기술 서비스업,14306707245.0,68.4,28.36,1,0,-0.75,8.95,6.52,0.59,158.23,195.3,-8.21,131.56,147.3,0.117,0.117,1,12.0,1,0,3.27,0.51,0,0,0,1,1,9054.5,27.19,0.0991,False,O,▲,12207,▲,X,X,0.0,250,0,1,1,1,19720.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.0,6.0,1.2,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,0.0,기타 과학기술 서비스업,6.783928571428572,4.263571428571428,12.0,59.7,OK,25.0,25.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,70.4,70.4,70.4,26.67,26.67,FRESH,0.619,,False,0.483,False,MATURE,4239.0,1.229,0.88,0.88,0.0,0.0,,v22_calibrated,,,,,,True,18.4,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
11,006800,미래에셋증권,KOSPI,서비스 기타,67700,1015.25,378826.8,0.0,,ARMED,ARMED,2,True,1,False,68.5,68.5,95.8,42.4,66.1,0.0,55.7,68.1,53.4,33.2,1.6,0.0,RR1.6 + 진입적정 + 대기,0,67700.0,63700.0,74100.0,77000.0,,-0.98,0.53,61917,200.8,특이사항 없음,0,8.06,50.0,0.53,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,56.0,금융 지원 서비스업,101524761450.0,51.3,18.03,0,0,-1.17,-2.03,-2.87,1.65,66.45,147.25,-7.15,39.78,99.25,0.176,0.176,1,9.3,1,0,2.07,0.52,0,0,0,1,1,60440.0,9.34,-0.0606,True,O,▲,68817,▼,X,X,-0.58,250,0,1,1,1,78800.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,5.91,4.0,1.6,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,ATR_3.5x,45,0.0,금융 지원 서비스업,6.783928571428572,4.263571428571428,12.0,66.1,OK,32.78840471180389,32.78840471180389,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,pullback,77.7,7.0,60,20260429,20260429,,68.5,68.5,68.5,26.67,26.67,FRESH,0.619,,False,0.468,False,MATURE,4239.0,1.6,0.88,0.88,0.0,0.0,,v22_calibrated,,,,,,True,9.5,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
12,039610,화성밸브,KOSDAQ,조선·기계·설비,10250,93.53,1067.1,0.0,,ARMED,ARMED,2,True,1,False,68.7,68.7,100.0,49.2,45.3,0.0,54.8,64.8,54.7,31.6,0.93,0.0,진입적정 + 대기,0,10250.0,8710.0,11680.0,12570.0,,0.61,0.53,9746,5.55,특이사항 없음,0,21.23,62.9,8.53,STRUCT 강점,,,스퀴즈/품질 대기,CAUTION,56.0,일반 목적용 기계 제조업,9352886040.0,80.0,34.57,0,0,0.49,3.74,4.91,28.93,17.41,19.46,20.13,-9.26,-28.54,0.144,0.144,1,12.0,1,0,4.7,0.65,0,0,0,1,1,8855.0,5.17,-0.0793,False,O,▲,10083,▲,O,X,0.98,250,0,1,1,1,12980.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.02,6.0,0.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,일반 목적용 기계 제조업,10.336153846153847,25.077384615384616,5.0,45.3,OK,30.52907975607411,30.52907975607411,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,68.7,68.7,68.7,26.67,26.67,FRESH,0.619,,False,0.47,False,MATURE,4239.0,0.929,0.88,0.88,0.0,0.0,,v22_calibrated,,,,,,True,14.0,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
13,080580,오킨스전자,KOSDAQ,IT/전기전자,21400,60.36,4404.4,0.0,,ARMED,ARMED,2,True,1,False,68.7,68.7,98.3,38.1,70.9,0.0,54.7,69.1,60.2,24.8,4.45,0.0,RR4.5 + 진입적정 + 대기,0,21400.0,20300.0,26300.0,28100.0,,-1.63,0.43,18298,101.44,특이사항 없음,0,20.06,52.7,0.32,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,56.0,전자부품 제조업,6036458675.0,60.8,36.89,0,0,-2.51,-4.89,-4.04,-0.23,60.66,125.74,-9.03,33.99,77.74,0.067,0.067,1,12.0,1,0,2.06,0.45,0,0,0,1,1,17644.0,16.95,-0.2976,True,O,▲,22953,▼,X,X,-1.37,250,0,1,1,1,30100.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,5.14,6.0,4.5,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,전자부품 제조업,2.853258426966292,18.027078651685393,8.0,70.9,OK,25.0,25.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,pullback,78.1,7.0,60,20260429,20260429,,68.7,68.7,68.7,26.67,26.67,FRESH,0.619,,False,0.47,False,MATURE,4239.0,4.455,0.88,0.88,0.0,0.0,,v22_calibrated,,,,,,True,22.9,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
14,259630,엠플러스,KOSDAQ,조선·기계·설비,18030,64.58,2176.9,0.0,,ARMED,ARMED,2,True,1,False,66.8,66.8,96.5,40.2,60.6,0.0,53.4,65.8,56.3,29.6,0.87,0.0,진입적정 + 대기,0,18030.0,15640.0,20100.0,22200.0,,-0.87,0.39,15280,20.88,특이사항 없음,0,27.81,70.4,14.59,STRUCT 강점,AI 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,56.0,특수 목적용 기계 제조업,6457943635.0,79.9,50.8,0,0,1.24,-2.7,16.62,40.86,40.2,11.09,32.06,13.53,-36.91,0.141,0.141,1,12.0,1,0,2.82,0.74,0,0,0,1,1,14177.0,17.99,-0.2732,False,O,▲,18299,▲,X,X,0.0,250,0,1,1,1,22850.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,13.26,6.0,0.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,특수 목적용 기계 제조업,10.336153846153847,25.077384615384616,5.0,60.6,OK,25.930650116429355,25.930650116429355,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260429,20260429,,66.8,66.8,66.8,26.67,26.67,FRESH,0.619,,False,0.454,False,MATURE,4239.0,0.866,0.88,0.866,0.0,0.0,,v22_calibrated,,,,,,True,11.5,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
15,064260,다날,KOSDAQ,IT/전기전자,7590,99.33,5741.5,0.0,,ARMED,ARMED,2,True,1,False,68.4,68.4,99.4,32.8,77.7,0.0,53.3,70.0,66.6,16.7,3.52,0.0,RR3.5 + 진입적정 + 대기,0,7590.0,7280.0,8680.0,10060.0,,-1.36,0.14,8172,7.84,특이사항 없음,0,30.38,61.5,0.34,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,56.0,소프트웨어 개발 및 공급업,9933288350.0,77.1,32.92,0,0,-0.78,-1.94,-6.18,20.29,-18.47,-3.68,11.49,-45.14,-51.68,0.536,0.317,1,12.0,1,0,2.02,0.63,0,0,0,1,1,6650.0,-7.13,-0.2533,True,X,▲,7793,▼,X,X,0.52,250,0,1,-1,1,10700.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,4.08,5.0,3.5,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,SWING_120D,45,0.0,소프트웨어 개발 및 공급업,2.853258426966292,18.027078651685393,8.0,77.7,OK,25.026504805712463,25.026504805712463,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,pullback,77.8,7.0,60,20260429,20260429,,68.4,68.4,68.4,26.67,26.67,FRESH,0.619,,False,0.467,False,MATURE,4239.0,3.516,0.88,0.88,0.0,0.0,,v22_calibrated,,,,,,True,14.4,,ELITE_SCORE,MATURE,4239,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
