date,action,code,name,ret_pct_gross,ret_pct_net,realized_pl,cash,invested_total,total_assets,open_positions
2026-03-03,ENTER,309710,아이티켐,0,0,0,0.0,10000000.0,10000000.0,1
2026-03-04,EXIT,309710,아이티켐,-5.11,-5.33,-533000.0,9467000.0,0,9467000.0,0
2026-03-16,ENTER,003310,대주산업,0,0,0,0.0,9467000.0,9467000.0,1
2026-03-26,EXIT,003310,대주산업,-15.1,-15.32,-1450344.0,8016656.0,0,8016656.0,0
2026-03-26,ENTER,298020,효성티앤씨,0,0,0,0.0,8016656.0,8016656.0,1
2026-04-09,EXIT,298020,효성티앤씨,4.34,4.12,330286.0,8346942.0,0,8346942.0,0
2026-04-09,ENTER,054920,한컴위드,0,0,0,0.0,8346942.0,8346942.0,1
2026-04-16,EXIT,054920,한컴위드,23.92,23.7,1978225.0,10325167.0,0,10325167.0,0
2026-04-16,ENTER,252990,샘씨엔에스,0,0,0,0.0,10325167.0,10325167.0,1
2026-04-21,EXIT,252990,샘씨엔에스,22.16,21.94,2265342.0,12590509.0,0,12590509.0,0
2026-04-21,ENTER,017800,현대엘리베이터,0,0,0,0.0,12590509.0,12590509.0,1
2026-04-27,EXIT,017800,현대엘리베이터,-7.44,-7.66,-964433.0,11626076.0,0,11626076.0,0
2026-04-28,ENTER,044490,태웅,0,0,0,0.0,11626076.0,11626076.0,1
2026-05-11,EXIT,044490,태웅,-15.01,-15.23,-1770651.0,9855424.0,0,9855424.0,0
2026-05-11,ENTER,017550,수산세보틱스,0,0,0,0.0,9855424.0,9855424.0,1
2026-05-13,EXIT,017550,수산세보틱스,-15.0,-15.22,-1499996.0,8355429.0,0,8355429.0,0
2026-05-13,ENTER,016360,삼성증권,0,0,0,0.0,8355429.0,8355429.0,1
2026-05-18,EXIT,016360,삼성증권,-10.06,-10.28,-858938.0,7496491.0,0,7496491.0,0
2026-05-18,ENTER,052900,KX하이텍,0,0,0,0.0,7496491.0,7496491.0,1
2026-05-22,EXIT,052900,KX하이텍,23.35,23.13,1733938.0,9230429.0,0,9230429.0,0
2026-05-27,ENTER,064400,LG씨엔에스,0,0,0,0.0,9230429.0,9230429.0,1
2026-06-01,EXIT,064400,LG씨엔에스,21.22,21.0,1938390.0,11168819.0,0,11168819.0,0
2026-06-01,ENTER,417840,저스템,0,0,0,0.0,11168819.0,11168819.0,1
2026-06-03,EXIT,417840,저스템,-15.03,-15.25,-1703245.0,9465574.0,0,9465574.0,0
2026-06-05,ENTER,007660,이수페타시스,0,0,0,0.0,9465574.0,9465574.0,1
2026-06-09,EXIT,007660,이수페타시스,-22.36,-22.58,-2137327.0,7328248.0,0,7328248.0,0
2026-06-11,ENTER,009155,삼성전기우,0,0,0,0.0,7328248.0,7328248.0,1
2026-06-22,EXIT,009155,삼성전기우,36.52,36.3,2660154.0,9988401.0,0,9988401.0,0
2026-06-23,ENTER,252990,샘씨엔에스,0,0,0,0.0,9988401.0,9988401.0,1
2026-06-25,EXIT,252990,샘씨엔에스,-15.0,-15.22,-1520235.0,8468167.0,0,8468167.0,0
2026-06-26,ENTER,080220,제주반도체,0,0,0,0.0,8468167.0,8468167.0,1
2026-06-30,EXIT,080220,제주반도체,-15.07,-15.29,-1294783.0,7173384.0,0,7173384.0,0
2026-06-30,ENTER,000660,SK하이닉스,0,0,0,0.0,7173384.0,7173384.0,1
2026-07-03,EXIT,000660,SK하이닉스,-15.03,-15.25,-1093941.0,6079443.0,0,6079443.0,0
2026-07-03,ENTER,089970,브이엠,0,0,0,0.0,6079443.0,6079443.0,1
2026-07-08,EXIT,089970,브이엠,-15.08,-15.3,-930155.0,5149288.0,0,5149288.0,0
2026-07-09,ENTER,037710,광주신세계,0,0,0,0.0,5149288.0,5149288.0,1
2026-07-10,EXIT_FINAL,037710,광주신세계,-7.56,-7.78,-400615.0,4748674.0,0,4748674.0,0
