종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
067310,하나마이크론,KOSDAQ,반도체 제조업,반도체 제조업,반도체,25450,637.53,16893.2,25450,23650,28150,30800,94.0,88.8,95.2,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,8.76,107.25,0.27,19.41,88.37,15,1.0,1.0,1.0,1.0,0.56,0.7,0.73,51.0,56.1,2.88,24307,4.7,,-16.2504,0.1382,1.77,1.03,27055,-1,12.0,0,1,1,1,False,6.04,1.39,25.68,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), VWAP상회",1.8,98,249.4,4.025,3.0,1.5,0.0,-1,🌪️ 15일 연속 응축 중! 폭발 임박. 🚀 단기 모멘텀 가속.  (매수 유효),66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),1,1,20251222,20251222,18.37,6.27,25.68,19.41
347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,91900,960.24,40009.1,91900,85400,99700,107400,91.2,94.3,96.2,🔺 Watch (상승 준비),⑤ 하락 / 약세,-16.45,199.3,-24.94,64.14,180.42,1,0.95,0.89,1.0,1.0,0.73,1.0,0.71,48.3,55.4,-0.41,93738,-1.96,,-1182.2441,0.1085,0.51,-0.2,74790,1,19.67,0,1,1,0,False,0.66,10.72,70.41,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,27,248.1,1.0575675675675675,12.0,1.2,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),5,2,20251222,20251222,18.37,6.27,70.41,64.14
001440,대한전선,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,23350,806.47,43535.4,23350,21700,25850,28300,88.0,78.4,90.0,↩️ PULL (눌림),② 상승 후 조정,7.11,42.03,0.35,28.49,7.67,1,1.0,1.0,1.0,1.0,0.3,0.92,0.71,53.6,59.1,2.52,23348,0.01,,-70.8244,-0.1347,1.22,-1.59,25545,-1,12.44,0,1,1,1,False,-4.3,2.64,46.86,6,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,107,249.8,1.0575675675675675,12.0,1.5151515151515151,0.0,-1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. ,66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),2,3,20251222,20251222,18.37,6.27,46.86,28.49
240810,원익IPS,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,63000,502.45,30922.9,63000,58500,69700,76300,87.6,73.7,91.7,↩️ PULL (눌림),② 상승 후 조정,6.24,139.09,-2.25,28.35,120.21,8,1.0,1.0,1.0,1.0,0.39,0.52,0.58,52.7,47.6,2.97,60063,4.89,,-207.9521,-0.0522,1.92,0.03,67380,-1,10.77,0,1,1,1,False,4.3,1.94,34.62,6,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,39,245.7,1.2833870967741934,10.0,1.488888888888889,0.0,-1,🌪️ 8일 연속 응축 중! 폭발 임박. 📉 매도세 우위. ,66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),2,4,20251222,20251222,18.37,6.27,34.62,28.35
047810,한국항공우주,KOSPI,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",기타,113000,919.41,110146.9,112300,104400,128000,143800,85.8,79.6,85.4,🔺 Watch (상승 준비),⑤ 하락 / 약세,8.76,23.9,2.0,-12.27,-10.46,13,1.0,1.0,1.0,0.9,0.21,1.0,0.66,62.2,66.2,3.66,109349,3.34,,9.6597,-0.042,1.32,-0.09,102190,1,9.09,1,1,1,1,False,0.18,2.73,6.1,8,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,22,247.1,1.0575675675675675,12.0,1.744186046511628,0.6233303650934996,1,🌪️ 13일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. ,66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),5,5,20251222,20251222,18.37,6.27,6.1,-12.27
034020,두산에너빌리티,KOSPI,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,78000,3221.96,499637.7,78000,72500,84600,91200,85.1,75.5,86.2,↩️ PULL (눌림),② 상승 후 조정,7.59,18.54,0.83,6.63,-15.82,4,0.95,0.89,1.0,1.0,0.23,1.0,0.76,57.1,54.4,1.29,76580,1.85,,7.7338,-0.0274,1.06,-0.57,83970,-1,9.04,1,1,1,1,False,1.17,1.56,25.0,5,★,"RSI적정, 20선근접, 장기추세(120↑), MACD>Sig, VWAP상회",1.8,32,249.6,1.2833870967741934,10.0,1.2,0.0,-1,🌪️ 에너지 응축 시작 (4일차). 📉 매도세 우위. ✅ 20일선 눌림목 구간.,66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),2,6,20251222,20251222,18.37,6.27,25.0,6.63
032830,삼성생명,KOSPI,보험업,보험업,금융,160300,410.2,320600.0,159000,148900,174000,189000,85.0,77.7,85.0,🔻 REV (역추세 반등),④ 바닥 반등 시도,10.7,26.92,3.94,-15.48,-7.44,1,0.95,0.9,0.95,0.87,0.37,0.4,0.83,58.2,63.6,3.85,154312,3.88,,380.5964,0.0603,1.11,1.14,163160,-1,7.61,1,1,1,1,False,4.84,2.89,2.89,7,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,15,238.5,4.880833333333333,2.0,1.2017543859649122,0.8176100628930818,-1,🌪️ 에너지 응축 시작 (1일차). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),4,7,20251222,20251222,18.37,6.27,2.89,-15.48
103590,일진전기,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,55400,187.29,26417.7,55400,51500,60100,64800,83.8,67.1,88.4,↩️ PULL (눌림),② 상승 후 조정,3.55,47.34,-3.21,39.46,12.98,1,0.95,0.89,1.0,1.0,0.33,0.12,0.69,54.6,68.4,0.96,55499,-0.18,,-204.6135,-0.1482,0.48,-0.76,50960,1,13.0,0,1,1,1,False,-2.29,2.03,57.83,5,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,45,249.3,1.0575675675675675,12.0,1.205128205128205,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간.,66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),2,8,20251222,20251222,18.37,6.27,57.83,39.46
006910,보성파워텍,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 금속제품, 탱크 및 증기발생기 제조업",기타,5420,244.29,2662.8,5390,5010,5960,6530,83.1,67.6,86.9,🔺 Watch (상승 준비),② 상승 후 조정,10.05,58.71,1.56,9.3,39.83,19,1.0,1.0,1.0,0.91,0.28,0.19,0.52,54.3,63.1,3.53,5222,3.79,,-9.3362,-0.0234,2.23,-0.11,4875,1,13.77,0,1,1,1,False,1.12,3.63,15.57,7,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,463,249.6,1.0575675675675675,12.0,1.3170731707317074,0.5565862708719851,1,🌪️ 19일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. ,66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),2,9,20251222,20251222,18.37,6.27,15.57,9.3
226950,올릭스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,128300,1038.81,25903.6,128300,119300,139100,149900,81.9,79.6,87.4,↩️ PULL (눌림),② 상승 후 조정,-1.46,252.47,-9.95,19.89,233.59,5,0.95,0.88,1.0,1.0,0.29,1.0,0.74,48.9,55.4,-1.27,135608,-5.39,,-659.423,-0.2272,0.84,-1.47,112050,1,21.37,0,1,1,0,False,-9.2,8.45,26.16,3,,"RSI적정, 정배열(단), 장기추세(120↑)",1.8,19,243.8,1.0575675675675675,12.0,1.2,0.0,1,🌪️ 5일 연속 응축 중! 폭발 임박. 📉 매도세 우위. ✅ 20일선 눌림목 구간.,66.5,61.2,71.3,🔥 과열,1.IT/전기전자(+6.9%) / 2.금융(+4.9%) / 3.반도체(+4.0%) / 4.유통·소비재(+3.7%) / 5.자동차·모빌리티(+2.1%),2,10,20251222,20251222,18.37,6.27,26.16,19.89
