date,action,code,name,ret_pct_gross,ret_pct_net,realized_pl,cash,invested_total,total_assets,open_positions
2026-03-03,ENTER,309710,아이티켐,0,0,0,0.0,10000000.0,10000000.0,1
2026-03-04,EXIT,309710,아이티켐,-5.11,-5.33,-533000.0,9467000.0,0,9467000.0,0
2026-03-16,ENTER,003310,대주산업,0,0,0,0.0,9467000.0,9467000.0,1
2026-03-26,EXIT,003310,대주산업,-15.1,-15.32,-1450344.0,8016656.0,0,8016656.0,0
2026-03-26,ENTER,298020,효성티앤씨,0,0,0,0.0,8016656.0,8016656.0,1
2026-04-09,EXIT,298020,효성티앤씨,4.34,4.12,330286.0,8346942.0,0,8346942.0,0
2026-04-09,ENTER,054920,한컴위드,0,0,0,0.0,8346942.0,8346942.0,1
2026-04-16,EXIT,054920,한컴위드,23.92,23.7,1978225.0,10325167.0,0,10325167.0,0
2026-04-16,ENTER,252990,샘씨엔에스,0,0,0,0.0,10325167.0,10325167.0,1
2026-04-21,EXIT,252990,샘씨엔에스,22.16,21.94,2265342.0,12590509.0,0,12590509.0,0
2026-04-21,ENTER,017800,현대엘리베이터,0,0,0,0.0,12590509.0,12590509.0,1
2026-04-27,EXIT,017800,현대엘리베이터,-7.44,-7.66,-964433.0,11626076.0,0,11626076.0,0
2026-04-28,ENTER,044490,태웅,0,0,0,0.0,11626076.0,11626076.0,1
2026-04-30,EXIT_FINAL,044490,태웅,1.5,1.28,148814.0,11774889.0,0,11774889.0,0
