종목코드,종목명
005930,삼성전자
000660,SK하이닉스
373220,LG에너지솔루션
207940,삼성바이오로직스
005935,삼성전자우
005380,현대차
012450,한화에어로스페이스
329180,HD현대중공업
402340,SK스퀘어
034020,두산에너빌리티
000270,기아
105560,KB금융
068270,셀트리온
028260,삼성물산
042660,한화오션
012330,현대모비스
035420,NAVER
055550,신한지주
015760,한국전력
267260,HD현대일렉트릭
032830,삼성생명
009540,HD한국조선해양
005490,POSCO홀딩스
010130,고려아연
086790,하나금융지주
035720,카카오
196170,알테오젠
010140,삼성중공업
064350,현대로템
051910,LG화학
006400,삼성SDI
000810,삼성화재
034730,SK
009150,삼성전기
316140,우리금융지주
298040,효성중공업
011200,HMM
086280,현대글로비스
267250,HD현대
138040,메리츠금융지주
096770,SK이노베이션
033780,KT&G
042700,한미반도체
003670,포스코퓨처엠
006800,미래에셋증권
272210,한화시스템
024110,기업은행
0126Z0,삼성에피스홀딩스
010120,LS ELECTRIC
066570,LG전자
047810,한국항공우주
247540,에코프로비엠
352820,하이브
018260,삼성에스디에스
000150,두산
307950,현대오토에버
030200,KT
086520,에코프로
003550,LG
079550,LIG넥스원
017670,SK텔레콤
259960,크래프톤
298380,에이비엘바이오
000720,현대건설
323410,카카오뱅크
010950,S-Oil
071050,한국금융지주
047050,포스코인터내셔널
000880,한화
326030,SK바이오팜
003230,삼양식품
005387,현대차2우B
277810,레인보우로보틱스
000100,유한양행
039490,키움증권
005830,DB손해보험
278470,에이피알
443060,HD현대마린솔루션
003490,대한항공
007660,이수페타시스
180640,한진칼
005940,NH투자증권
161390,한국타이어앤테크놀로지
016360,삼성증권
090430,아모레퍼시픽
006260,LS
028300,HLB
377300,카카오페이
011070,LG이노텍
032640,LG유플러스
029780,삼성카드
034220,LG디스플레이
064400,LG씨엔에스
950160,코오롱티슈진
141080,리가켐바이오
000250,삼천당제약
005385,현대차우
241560,두산밥캣
454910,두산로보틱스
021240,코웨이
078930,GS
128940,한미약품
001040,CJ
087010,펩트론
036570,엔씨소프트
088980,맥쿼리인프라
028050,삼성E&A
009830,한화솔루션
058470,리노공업
001440,대한전선
138930,BNK금융지주
175330,JB금융지주
214450,파마리서치
066970,엘앤에프
022100,포스코DX
052690,한전기술
062040,산일전기
251270,넷마블
082740,한화엔진
271560,오리온
004020,현대제철
051900,LG생활건강
347850,디앤디파마텍
002380,KCC
011790,SKC
214370,케어젠
039030,이오테크닉스
035250,강원랜드
240810,원익IPS
111770,영원무역
302440,SK바이오사이언스
450080,에코프로머티
214150,클래시스
310210,보로노이
108490,로보티즈
011780,금호석유화학
036460,한국가스공사
000990,DB하이텍
0009K0,에임드바이오
103140,풍산
017800,현대엘리베이터
031210,서울보증보험
097950,CJ제일제당
030530,원익홀딩스
018880,한온시스템
071970,HD현대마린엔진
011170,롯데케미칼
103590,일진전기
012750,에스원
088350,한화생명
204320,HL만도
012510,더존비즈온
145020,휴젤
403870,HPSP
004990,롯데지주
140410,메지온
319400,현대무벡스
014680,한솔케미칼
004170,신세계
068760,셀트리온제약
226950,올릭스
257720,실리콘투
489790,한화비전
439260,대한조선
009970,영원무역홀딩스
042670,HD현대인프라코어
237690,에스티팜
026960,동서
081660,미스토홀딩스
263750,펄어비스
041510,에스엠
475830,오름테라퓨틱
004370,농심
383220,F&F
008930,한미사이언스
035900,JYP Ent.
009420,한올바이오파마
001430,세아베스틸지주
011210,현대위아
336260,두산퓨얼셀
051600,한전KPS
000240,한국앤컴퍼니
030000,제일기획
001450,현대해상
001720,신영증권
139130,iM금융지주
004800,효성
095340,ISC
000120,CJ대한통운
353200,대덕전자
139480,이마트
097230,HJ중공업
357780,솔브레인
476830,알지노믹스
028670,팬오션
069960,현대백화점
005850,에스엘
003690,코리안리
002790,아모레퍼시픽홀딩스
000155,두산우
267270,HD현대건설기계
018670,SK가스
462870,시프트업
010060,OCI홀딩스
005290,동진쎄미켐
023530,롯데쇼핑
192820,코스맥스
437730,삼현
361610,SK아이이테크놀로지
058610,에스피지
098460,고영
084370,유진테크
067310,하나마이크론
006280,녹십자
069620,대웅제약
282330,BGF리테일
017960,한국카본
064760,티씨케이
003570,SNT다이내믹스
006040,동원산업
008770,호텔신라
457190,이수스페셜티케미컬
089030,테크윙
222800,심텍
020150,롯데에너지머티리얼즈
483650,달바글로벌
023590,다우기술
007070,GS리테일
083650,비에이치아이
160190,하이젠알앤엠
112610,씨에스윈드
032350,롯데관광개발
039200,오스코텍
00680K,미래에셋증권2우B
395400,SK리츠
445680,큐리옥스바이오시스템즈
140860,파크시스템스
073240,금호타이어
047040,대우건설
006360,GS건설
085620,미래에셋생명
065350,신성델타테크
484870,엠앤씨솔루션
375500,DL이앤씨
020560,아시아나항공
036930,주성엔지니어링
034230,파라다이스
458870,씨어스테크놀로지
000500,가온전선
060370,LS마린솔루션
007310,오뚜기
178320,서진시스템
161890,한국콜마
466100,클로봇
077970,STX엔진
253450,스튜디오드래곤
005070,코스모신소재
491000,리브스메드
348370,엔켐
007340,DN오토모티브
035760,CJ ENM
294870,HDC현대산업개발
101490,에스앤에스텍
099320,쎄트렉아이
290650,엘앤씨바이오
003540,대신증권
001120,LX인터내셔널
005440,현대지에프홀딩스
293490,카카오게임즈
195940,HK이노엔
007390,네이처셀
001800,오리온홀딩스
000080,하이트진로
051915,LG화학우
100090,SK오션플랜트
120110,코오롱인더
300720,한일시멘트
232140,와이씨
122870,와이지엔터테인먼트
003090,대웅
096530,씨젠
003380,하림지주
319660,피에스케이
007810,코리아써키트
285130,SK케미칼
249420,일동제약
005300,롯데칠성
415640,KB발해인프라
456160,지투지바이오
330590,롯데리츠
397030,에이프릴바이오
071320,지역난방공사
004000,롯데정밀화학
006120,SK디스커버리
185750,종근당
323280,태성
090710,휴림로봇
031980,피에스케이홀딩스
192080,더블유게임즈
000815,삼성화재우
089860,롯데렌탈
328130,루닛
075580,세진중공업
229640,LS에코에너지
085660,차바이오텍
030610,교보증권
